Unnamed: 0,Action,Phase,DateCreated,UserId,ActionEnd,Duration,sessionId,ActionShort,REG_TYPE,LA,SELF0_PEER1
0,Create quick note,PHASE #1 ALIGN,,0e384161-fb03-4bea-a9be-a78beb7a44ca,,276550,1,RWER6,SSRL,0,P
1,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,77,3,RWER1,SSRL,0,P
2,Visit Provide feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,23,3,RWER8,Co-RL,0,P
3,Visit Revise the work page,PHASE #3 ACT,,1209d174-efe1-4842-8308-1597d065628f,,28,3,3.1 VISIT_REVISION,SRL,0,S
4,Visit Revise the work page,PHASE #3 ACT,,1209d174-efe1-4842-8308-1597d065628f,,6,3,3.1 VISIT_REVISION,SRL,0,S
5,Visit Check the feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,4,3,2.1 VISIT_FEEDBACK,SRL,0,S
6,Visit Check the feedback page,PHASE #2 DISCUSS,,1209d174-efe1-4842-8308-1597d065628f,,6,3,2.1 VISIT_FEEDBACK,SRL,0,S
7,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,11,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
8,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,13,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
9,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,12,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
10,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,7,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
11,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 01:33:48,129,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
12,Visit Assess own work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,29,4,1.1 VISIT_SELF_ASSESS,SSRL,0,S
13,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,,587,4,RWER1,SSRL,0,P
14,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 13:53:30,1313,4,RWER1,SSRL,0,P
15,Visit Assess peer work page,PHASE #1 ALIGN,2025-08-11 14:22:54,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 15:33:30,70,5,RWER1,SSRL,0,P
16,Visit Assess peer work page,PHASE #1 ALIGN,,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 02:51:06,299,6,RWER1,SSRL,0,P
17,Make peer assessment,PHASE #1 ALIGN,2025-08-11 02:51:06,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 03:15:48,24,6,RWER2,SSRL,0,P
18,Compare scores for peers' work,PHASE #1 ALIGN,2025-08-11 03:15:48,1209d174-efe1-4842-8308-1597d065628f,2025-08-11 05:15:00,119,6,RWER3,SSRL,1,P
