UserId,n_sessions,n_actionshort,n_actions,duration_sum
0e384161-fb03-4bea-a9be-a78beb7a44ca,1,1,1,276550
1209d174-efe1-4842-8308-1597d065628f,19,23,23,1781356
1c147cc6-2bc7-4b2d-8cc1-f6a8a307ee74,20,24,24,-854100
24304045-25bc-4501-9598-8f5f4f35d7b3,6,11,11,-718313
34e9e65a-6260-4a63-848e-39d0d1bc208c,17,21,21,-558115
3d5728f7-af0c-4a70-8885-2362a1dc5868,13,15,15,358823
4f851eaa-8ce3-4e99-bd90-e046a5d4df04,49,23,23,-683787
56c719cf-a2ea-4a0f-a103-727773d031ce,10,16,16,592086
57012b6c-5b97-4217-9d49-9644bf190ef8,29,30,30,-928153
5985a8da-6171-40b6-ad4f-e90829bacacc,18,18,18,-1029368
59ee0188-e7d5-4840-8412-125d4740ca98,2,2,2,279375
5dc50a26-26db-4a4d-a643-c49dc1b5f4b2,9,10,10,-742084
65a23068-871e-4f4b-956c-27a80d0e6831,10,19,19,-1269718
677ca5a6-10b4-4f78-a876-046642353da4,13,20,20,1183294
6d83e23d-2844-4ccb-aa6c-f47321f69c71,18,21,21,-881324
71464b45-3325-460b-b9cc-fd88636a7b8e,25,22,22,-615337
722f3199-e058-49a5-8e01-fb21bedde418,9,11,11,462174
8965c29f-bba5-4434-93c2-63c1d0180358,6,13,13,189073
8e5f904f-824f-474b-8bbd-36e6175f627b,9,20,20,1273286
909683f5-6f84-4f01-ba4b-47a87b25b0f9,24,22,22,-1950664
97231a28-c163-4b33-b9f4-4611fd4115f7,33,33,33,-544584
a2c3e8ab-d9c1-40d9-9fc1-2e33ddba4b81,20,32,32,-757232
b83e3b50-a60c-44e9-9fa0-27d946769f55,27,22,22,1010668
b8a7aa3e-a024-4e98-8781-5f19129a2787,24,18,18,-510638
c0296a7f-422b-4b8c-9a2e-f738596efe00,11,23,23,-1454345
c10c98a9-aca6-48c4-a83a-5ff0c2818a79,9,14,14,-1108067
d2e2840e-74c7-4613-a84d-c2cde3b60bde,23,26,26,348483
d74f62e6-fd7b-41c5-9e8b-effb614e6c69,18,22,22,-531650
dba8c88a-86ef-4d79-b720-afa70f45c49a,25,29,29,-786313
e7c3669b-8f56-4be6-9d5d-5d4d8a8f7612,28,31,31,-990415
eb14adb2-47ed-492d-b1e2-4a45b8973428,5,6,6,280720
ef1f3d3f-a53e-482d-b3d8-08d1ac91bdc7,5,9,9,-525619
fbed42b3-38a2-48a1-bf88-c4d74eb2d16f,10,26,26,2254941
