sessionId,n_users,n_actionshort,n_actions,duration_sum
1,1,1,1,276550
3,1,5,5,316
4,1,2,2,1929
5,1,1,1,70
6,1,10,10,15390
7,1,5,5,1311
8,1,3,3,237901
9,1,6,6,2052
10,1,5,5,724
12,1,6,6,1624
13,1,9,9,87537
14,1,1,1,255081
15,1,6,6,318
16,1,1,1,21505
17,1,9,9,1064
18,1,5,5,600826
19,1,2,2,553652
20,1,1,1,5
21,1,3,3,6
22,1,2,2,45
25,1,1,1,4824
26,1,1,1,2209
27,1,1,1,2514
28,1,7,7,114737
29,1,1,1,1161
30,1,3,3,1552
31,1,4,4,1498
32,1,1,1,65950
33,1,1,1,16
34,1,2,2,1419
35,1,3,3,11617
36,1,1,1,1810
37,1,6,6,383
39,1,8,8,162755
41,1,1,1,67458
42,1,7,7,21419
43,1,1,1,2951
44,1,1,1,339344
45,1,1,1,1677
46,1,2,2,-1659394
47,1,1,1,7252
48,1,1,1,512067
49,1,5,5,71363
50,1,4,4,9196
51,1,2,2,714
52,1,9,9,-1318905
54,1,1,1,5672
56,1,6,6,2084
57,1,3,3,1055
58,1,10,10,11119
59,1,2,2,1184
60,1,1,1,1565
61,1,5,5,3755
62,1,2,2,1980
64,1,1,1,2093
65,1,1,1,2856
66,1,1,1,4465
67,1,1,1,9087
68,1,4,4,104280
69,1,3,3,65862
70,1,1,1,414397
71,1,3,3,2403
72,1,5,5,-1191972
74,1,1,1,1691
75,1,7,7,5595
76,1,3,3,1592
77,1,3,3,2135
78,1,2,2,151602
79,1,1,1,3770
80,1,1,1,9250
81,1,1,1,165675
82,1,1,1,11119
83,1,1,1,932
84,1,2,2,3014
85,1,8,8,2305
86,1,3,3,143
94,1,1,1,16
95,1,2,2,2294
96,1,1,1,2114
97,1,1,1,5031
98,1,1,1,4692
99,1,1,1,657
100,1,2,2,1429
101,1,1,1,4469
102,1,1,1,62958
103,1,1,1,4793
104,1,1,1,29
105,1,2,2,10829
106,1,1,1,61826
107,1,1,1,10
108,1,3,3,2687
109,1,3,3,2109
110,1,1,1,1468
111,1,1,1,3758
112,1,1,1,1054
113,1,1,1,5274
114,1,1,1,38499
115,1,2,2,12806
116,1,3,3,2822
117,1,1,1,1700
118,1,1,1,1584
119,1,7,7,33042
120,1,6,6,61486
121,1,1,1,52684
122,1,1,1,3237
123,1,1,1,220839
124,1,1,1,28
125,1,7,7,11679
126,1,13,13,1140
127,1,7,7,9386
128,1,3,3,56993
129,1,2,2,1684
130,1,2,2,21974
131,1,4,4,10218
132,1,5,5,32341
133,1,1,1,20770
134,1,2,2,101323
135,1,2,2,112435
136,1,4,4,150018
137,1,4,4,1789
138,1,2,2,1943
139,1,7,7,3678
140,1,1,1,19
141,1,3,3,277014
142,1,3,3,-2104415
146,1,6,6,5890
147,1,1,1,61666
148,1,1,1,1349
149,1,1,1,168697
150,1,1,1,1837
151,1,6,6,952
152,1,4,4,341710
153,1,9,9,7905
154,1,3,3,2071
155,1,1,1,9
156,1,4,4,1450
157,1,7,7,990
158,1,5,5,7598
159,1,6,6,758
160,1,6,6,3389
161,1,2,2,1413
162,1,4,4,100446
163,1,6,6,1876
164,1,6,6,222854
165,1,8,8,518
166,1,7,7,1046
167,1,2,2,248
168,1,1,1,3985
169,1,5,5,12086
