,Action,Phase,DateCreated,UserId,ActionEnd,Duration,sessionId,ActionShort,REG_TYPE,LA,SELF0_PEER1
0,Create quick note,PHASE #1 ALIGN,51:43.1,0e384161-fb03-4bea-a9be-a78beb7a44ca,40:53.2,276550,1,RWER6,SSRL,0,P
1,Visit Assess peer work page,PHASE #1 ALIGN,44:12.6,1209d174-efe1-4842-8308-1597d065628f,45:30.3,77,3,RWER1,SSRL,0,P
2,Visit Provide feedback page,PHASE #2 DISCUSS,46:52.9,1209d174-efe1-4842-8308-1597d065628f,47:16.5,23,3,RWER8,Co-RL,0,P
3,Visit Revise the work page,PHASE #3 ACT,52:24.3,1209d174-efe1-4842-8308-1597d065628f,52:52.3,28,3,3.1 VISIT_REVISION,SRL,0,S
4,Visit Revise the work page,PHASE #3 ACT,53:02.1,1209d174-efe1-4842-8308-1597d065628f,53:08.8,6,3,3.1 VISIT_REVISION,SRL,0,S
5,Visit Check the feedback page,PHASE #2 DISCUSS,53:25.5,1209d174-efe1-4842-8308-1597d065628f,53:30.0,4,3,2.1 VISIT_FEEDBACK,SRL,0,S
6,Visit Check the feedback page,PHASE #2 DISCUSS,53:34.3,1209d174-efe1-4842-8308-1597d065628f,53:40.9,6,3,2.1 VISIT_FEEDBACK,SRL,0,S
7,Visit Assess own work page,PHASE #1 ALIGN,53:44.5,1209d174-efe1-4842-8308-1597d065628f,53:56.3,11,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
8,Visit Assess own work page,PHASE #1 ALIGN,56:23.8,1209d174-efe1-4842-8308-1597d065628f,56:36.9,13,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
9,Visit Assess own work page,PHASE #1 ALIGN,57:32.0,1209d174-efe1-4842-8308-1597d065628f,57:44.8,12,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
10,Visit Assess own work page,PHASE #1 ALIGN,57:53.2,1209d174-efe1-4842-8308-1597d065628f,58:00.4,7,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
11,Visit Assess own work page,PHASE #1 ALIGN,59:24.0,1209d174-efe1-4842-8308-1597d065628f,01:33.8,129,3,1.1 VISIT_SELF_ASSESS,SSRL,0,S
